time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.843,-15.81445221,2.261727897,-8.69311744,1.02302065,1.049876035,-0.32956633,39.42202819,5.012175999,-3.833317426,4.956268199,0.086503199,-26.22320479,5.971E-17,-4.56E-17,-9.09068754,3.330240916,-10.21058564,33.26949906,0.580662299,-36.61024581,-1.1928E-16,-1.1738E-16,11.04123705,0.116512936,-4.9929963,-49.45963925,-23.48313379,-10.74799799,103.0257406,71.61097685,1.0897E-16,-4.991E-17,-33.22168301,-16.05047839,-5.969693398,127.4160661,71.10372668,-9.974E-17,4.858E-17
0.844,-15.67536417,2.322067612,-8.814042664,1.023064256,1.049743463,-0.329459527,39.22363547,5.040132769,-3.728183062,4.908983336,0.085677922,-26.15099996,7.375E-17,-3.637E-17,-9.068623064,3.354443297,-10.31275618,33.79302287,0.589799513,-36.61769326,-1.2335E-16,-1.3055E-16,10.87993165,0.077309255,-4.82675019,-49.32292918,-23.47965183,-10.71373711,102.9894678,71.61783521,1.3093E-16,-6.599E-17,-33.25440216,-16.04650694,-5.931329514,127.2036085,71.09137775,-1.1548E-16,5.7E-17
0.845,-15.53461948,2.38270453,-8.933905974,1.02310034,1.049606143,-0.329355906,39.02331762,5.064883483,-3.628138768,4.866469318,0.084935913,-26.08158146,9.397E-17,-2.823E-17,-9.042582278,3.378421158,-10.4120532,34.32282144,0.599046243,-36.6253752,-1.2865E-16,-1.4697E-16,10.71562746,0.036622357,-4.661170495,-49.18259395,-23.47668708,-10.67827362,102.9523441,71.62464803,1.4956E-16,-8.451E-17,-33.28619505,-16.04293647,-5.893196875,126.9887412,71.07972211,-1.338E-16,7.002E-17
0.846,-15.3923518,2.443604822,-9.052410217,1.023128805,1.049463913,-0.329255675,38.8211242,5.086350375,-3.532969961,4.828421777,0.084271858,-26.01525636,1.1101E-16,-3.148E-17,-9.012379745,3.402037791,-10.50830157,34.85896879,0.608403779,-36.63291613,-1.3285E-16,-1.6366E-16,10.54844621,-0.005582058,-4.496550396,-49.03871407,-23.47415517,-10.64157301,102.9144005,71.63141271,1.6837E-16,-1.051E-16,-33.3169959,-16.0399145,-5.855263634,126.7715956,71.06877793,-1.5524E-16,8.305E-17
0.847,-15.24871865,2.504729756,-9.169256959,1.023149576,1.049316578,-0.329159047,38.61712967,5.104465557,-3.442463599,4.794543174,0.083680565,-25.95233367,1.3099E-16,-3.365E-17,-8.977810002,3.425145209,-10.60134397,35.40154259,0.617873479,-36.6399198,-1.3353E-16,-1.8469E-16,10.37854066,-0.049322833,-4.333182794,-48.89137903,-23.47197804,-10.60360099,102.8756644,71.6381276,1.8759E-16,-1.278E-16,-33.34674485,-16.03758243,-5.817498229,126.5523055,71.05856237,-1.7397E-16,9.336E-17
0.848,-15.10390116,2.566035625,-9.284147547,1.023162593,1.049163904,-0.329066236,38.4114337,5.119171683,-3.35641122,4.764544681,0.083156992,-25.89312339,1.5419E-16,-3.257E-17,-8.938648202,3.447584447,-10.69104036,35.95062353,0.627456749,-36.64597125,-1.3462E-16,-2.0953E-16,10.20609445,-0.094602631,-4.17135918,-48.7406868,-23.47008476,-10.56432395,102.8361597,71.64479179,2.0786E-16,-1.5357E-16,-33.37538836,-16.03607442,-5.779869452,126.3310069,71.04909152,-1.9297E-16,9.879E-17
0.849,-14.95810369,2.627473681,-9.396784217,1.023167821,1.049005621,-0.328977459,38.20416145,5.130422577,-3.274611891,4.738148042,0.082696284,-25.83793557,1.7238E-16,-3.528E-17,-8.894650898,3.469185942,-10.77726743,36.50629452,0.637155037,-36.65063887,-1.3787E-16,-2.2947E-16,10.03132169,-0.141407301,-4.011368475,-48.58674325,-23.46841237,-10.5237093,102.7959063,71.65140501,2.3265E-16,-1.8259E-16,-33.40287956,-16.03551646,-5.742346504,126.1078376,71.04038045,-2.1115E-16,9.771E-17
0.85,-14.81155331,2.688990063,-9.506871243,1.023165243,1.048841425,-0.328892936,37.99546362,5.138183837,-3.196875006,4.71508741,0.0822938,-25.78707909,1.855E-16,-4.777E-17,-8.845556973,3.489769977,-10.85991791,37.06863996,0.646969816,-36.65347677,-1.3991E-16,-2.4128E-16,9.854466363,-0.189705327,-3.853495855,-48.42966154,-23.46690658,-10.48172596,102.7549206,71.6579675,2.5503E-16,-2.1137E-16,-33.42917854,-16.03602539,-5.704899027,125.8829364,71.03244314,-2.2866E-16,9.581E-17
0.851,-14.66449903,2.750525738,-9.614116108,1.023154862,1.048670976,-0.328812886,37.7855163,5.142433399,-3.123022926,4.695111131,0.081945148,-25.74086046,2.0794E-16,-6.351E-17,-8.791088714,3.509147195,-10.93889989,37.63774486,0.656902571,-36.65402708,-1.3869E-16,-2.5092E-16,9.675801475,-0.23944737,-3.698021549,-48.2695615,-23.46552238,-10.43834471,102.7132152,71.66447989,2.7482E-16,-2.3748E-16,-33.45425262,-16.03770802,-5.667497129,125.6564427,71.02529249,-2.4766E-16,9.798E-17
0.852,-14.51721098,2.812016435,-9.718230722,1.023136705,1.048493902,-0.328737533,37.57452076,5.143162062,-3.05289341,4.677983473,0.081646214,-25.69958236,2.3121E-16,-8.414E-17,-8.73095302,3.527119178,-11.01413595,38.21369398,0.666954779,-36.6518225,-1.3733E-16,-2.6978E-16,9.495627975,-0.290565927,-3.545219637,-48.10656882,-23.46422468,-10.3935386,102.6707987,71.67094299,2.971E-16,-2.6346E-16,-33.47807646,-16.04066034,-5.630111377,125.4284959,71.01894028,-2.6611E-16,9.798E-17
